Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Pass,left,11,3,kick_off_l,0,0,left,6,6,-5.478,0.591,true
Pass,left,6,7,play_on,-5.5267,2.0135,left,8,13,0.704,10.9063,true
Dribble,left,8,13,play_on,0.704,10.9063,left,8,19,3.5744,8.9807,true
Dribble,left,8,19,play_on,3.5744,8.9807,left,8,24,6.1538,8.7127,true
Pass,left,8,27,play_on,5.4548,7.992,left,6,34,-0.1947,5.1239,true
Pass,left,6,35,play_on,0.2245,5.4698,left,8,41,2.8601,12.198,true
Dribble,left,8,41,play_on,2.8601,12.198,left,8,47,5.7499,10.5399,true
Pass,left,8,48,play_on,6.262,11.6199,left,10,57,15.6463,26.4297,true
Pass,left,10,58,play_on,15.7811,26.1358,left,8,63,9.2401,16.7788,true
Dribble,left,8,65,play_on,10.0073,16.7047,left,8,69,9.7433,14.8513,true
MultiTouch,left,8,69,play_on,9.7433,14.8513,neutral,-1,73,10.6491,12.9083,false
Pass,right,3,77,play_on,2.7608,7.4244,right,10,83,-1.6798,-6.2708,true
Dribble,right,10,85,play_on,-2.6891,-6.7321,right,10,89,-4.0614,-5.6696,true
Dribble,right,10,89,play_on,-4.0614,-5.6696,right,10,91,-5.0586,-4.9618,true
Dribble,right,10,92,play_on,-5.5479,-4.7791,right,10,94,-6.3838,-4.4092,true
Dribble,right,10,94,play_on,-6.3838,-4.4092,right,10,98,-7.7825,-4.5121,true
Dribble,right,10,98,play_on,-7.7825,-4.5121,right,10,101,-9.0839,-4.1385,true
Dribble,right,10,102,play_on,-9.3673,-5.5298,right,10,108,-11.9558,-5.5763,true
Pass,right,10,108,play_on,-11.9558,-5.5763,right,3,112,-14.5205,-5.6312,true
Dribble,right,3,114,play_on,-16.07,-6.3276,right,3,117,-16.3282,-6.2667,true
Dribble,right,3,117,play_on,-16.3282,-6.2667,right,3,126,-22.3538,-9.6184,true
Dribble,right,3,126,play_on,-22.3538,-9.6184,right,3,131,-26.6178,-11.6198,true
Pass,right,3,133,play_on,-26.9847,-11.4019,right,10,135,-24.3521,-10.1648,true
MultiTouch,right,10,137,play_on,-23.5526,-9.0461,neutral,-1,138,-23.4235,-9.1253,false
Dribble,right,9,147,play_on,-13.8043,-1.4727,right,9,152,-16.2212,-1.4251,true
Dribble,right,9,152,play_on,-16.2212,-1.4251,right,9,159,-21.7049,-1.5333,true
Dribble,right,9,159,play_on,-21.7049,-1.5333,right,9,161,-23.701,-1.4733,true
Pass,right,9,162,play_on,-23.327,-0.2222,right,6,167,-20.3775,10.7107,true
Dribble,right,6,167,play_on,-20.3775,10.7107,right,6,170,-22.2282,10.4155,true
Dribble,right,6,170,play_on,-22.2282,10.4155,right,6,175,-23.88,10.5006,true
Dribble,right,6,175,play_on,-23.88,10.5006,right,6,177,-25.8785,9.9672,true
Pass,right,6,179,play_on,-25.4622,9.1004,right,9,180,-24.2889,7.5811,true
Pass,right,9,180,play_on,-24.2889,7.5811,right,6,181,-25.5676,9.2764,true
Pass,right,6,182,play_on,-25.5298,8.9829,right,9,183,-24.7094,8.1478,true
Pass,right,9,186,play_on,-24.6551,7.3738,right,3,187,-24.0823,5.013,true
Dribble,right,3,188,play_on,-24.7756,4.4687,right,3,190,-26.2149,5.431,true
Pass,right,3,193,play_on,-25.114,6.2788,right,9,194,-23.7934,7.3661,true
Pass,right,9,194,play_on,-23.7934,7.3661,right,11,198,-25.6896,-1.4063,true
Pass,right,11,200,play_on,-26.2631,-1.1235,right,10,203,-25.5665,-1.0788,true
Pass,right,10,205,play_on,-25.9389,-1.3191,right,3,206,-26.6348,0.4422,true
Pass,right,3,207,play_on,-26.9116,1.2354,right,10,208,-25.6748,-0.388,true
Pass,right,10,208,play_on,-25.6748,-0.388,right,7,210,-22.5768,1.4729,true
Dribble,right,7,211,play_on,-22.7764,2.0505,right,7,215,-25.5582,1.0704,true
Pass,right,7,216,play_on,-25.7431,0.4402,right,11,220,-27.4348,-7.875,true
Pass,right,11,220,play_on,-27.4348,-7.875,right,8,223,-29.1539,-13.0851,true
Dribble,right,8,223,play_on,-29.1539,-13.0851,right,8,226,-30.5887,-13.9101,true
Dribble,right,8,227,play_on,-30.9682,-13.8447,right,8,231,-32.2165,-14.7603,true
Interception,right,8,234,play_on,-32.556,-16.3122,left,4,237,-38.078,-14.9929,true
Pass,left,4,239,play_on,-38.1367,-14.9984,left,7,242,-36.505,-10.1296,true
Interception,left,7,246,play_on,-36.1085,-10.1222,right,5,249,-30.4295,-13.7074,true
Pass,right,5,250,play_on,-30.4687,-13.8794,right,11,253,-34.2099,-9.5671,true
Dribble,right,11,254,play_on,-34.0429,-8.8644,right,11,257,-33.6572,-8.746,true
Pass,right,11,258,play_on,-34.6487,-8.8724,right,8,262,-38.0174,-17.317,true
Dribble,right,8,264,play_on,-38.7498,-16.6073,right,8,270,-40.0235,-15.5085,true
Pass,right,8,271,play_on,-39.0887,-14.2138,right,10,275,-37.9792,-3.297,true
Pass,right,10,277,play_on,-38.7236,-2.1604,right,7,280,-34.4142,0.8353,true
Pass,right,7,281,play_on,-34.5302,2.1137,right,6,285,-40.7439,9.1141,true
Shoot,right,6,287,play_on,-41.727,8.9735,neutral,-1,292,-54.6291,6.3916,true
Interception,right,6,287,play_on,-41.727,8.9735,left,11,295,0,0,true
Pass,left,11,295,kick_off_l,0,0,left,6,298,-5.5093,-0.1596,true
Dribble,left,6,298,play_on,-5.5093,-0.1596,left,6,301,-4.1154,-0.4137,true
Pass,left,6,301,play_on,-4.1154,-0.4137,left,11,303,-0.9262,-0.1665,true
Dribble,left,11,303,play_on,-0.9262,-0.1665,left,11,309,0.0862,2.8838,true
Pass,left,11,311,play_on,0.1411,3.4254,left,10,321,4.6025,26.5487,true
Dribble,left,10,321,play_on,4.6025,26.5487,left,10,330,11.5069,29.544,true
Dribble,left,10,330,play_on,11.5069,29.544,left,10,333,13.6594,29.9082,true
Pass,left,10,337,play_on,12.3652,30.0519,left,5,344,5.1491,27.2605,true
Dribble,left,5,345,play_on,5.1069,28.3437,left,5,350,7.5172,26.4252,true
Pass,left,5,350,play_on,7.5172,26.4252,left,10,356,16.7217,29.9763,true
Dribble,left,10,356,play_on,16.7217,29.9763,left,10,361,19.8069,30.5398,true
Dribble,left,10,361,play_on,19.8069,30.5398,left,10,363,21.028,30.9266,true
Dribble,left,10,363,play_on,21.028,30.9266,left,10,369,22.8975,32.9636,true
Pass,left,10,372,play_on,22.2765,31.8226,left,8,378,15.9437,19.7233,true
Dribble,left,8,379,play_on,15.2621,20.4308,left,8,384,15.7344,21.5194,true
Dribble,left,8,384,play_on,15.7344,21.5194,left,8,387,16.0715,21.9432,true
Dribble,left,8,387,play_on,16.0715,21.9432,left,8,390,16.5497,23.2029,true
Dribble,left,8,390,play_on,16.5497,23.2029,left,8,395,18.6838,25.2725,true
Dribble,left,8,395,play_on,18.6838,25.2725,left,8,398,19.764,26.2076,true
Dribble,left,8,398,play_on,19.764,26.2076,left,8,401,21.3637,27.628,true
Dribble,left,8,401,play_on,21.3637,27.628,left,8,403,22.0541,28.2962,true
Dribble,left,8,403,play_on,22.0541,28.2962,left,8,405,22.6585,28.8849,true
Pass,left,8,405,play_on,22.6585,28.8849,left,10,426,45.7476,33.1271,true
Dribble,left,10,426,play_on,45.7476,33.1271,left,10,432,49.3157,32.8743,true
Dribble,left,10,432,play_on,49.3157,32.8743,left,10,437,51.1901,31.6275,true
Dribble,left,10,438,play_on,50.1361,31.5531,left,10,442,48.8911,32.6122,true
Dribble,left,10,442,play_on,48.8911,32.6122,left,10,445,48.1286,32.0322,true
Dribble,left,10,445,play_on,48.1286,32.0322,left,10,450,45.354,30.1126,true
Dribble,left,10,450,play_on,45.354,30.1126,left,10,454,43.3138,28.5345,true
Pass,left,10,454,play_on,43.3138,28.5345,left,11,460,44.2599,20.7056,true
MultiTouch,left,11,461,play_on,43.4996,19.9037,neutral,-1,467,40.0284,5.7961,false
Dribble,right,10,471,play_on,33.7493,0.5708,right,10,474,33.6723,0.4139,true
Dribble,right,10,474,play_on,33.6723,0.4139,right,10,481,28.9609,0.1974,true
Interception,right,10,484,play_on,27.4201,1.3796,left,6,501,16.5778,0.0486,true
MultiTouch,left,6,502,play_on,15.537,0.3455,neutral,-1,503,15.6479,0.4859,false
Dribble,left,2,510,play_on,4.4162,-6.4753,left,2,517,10.2174,-6.9935,true
Dribble,left,2,517,play_on,10.2174,-6.9935,left,2,522,12.0104,-8.9106,true
Dribble,left,2,522,play_on,12.0104,-8.9106,left,2,525,13.6297,-10.016,true
Dribble,left,2,525,play_on,13.6297,-10.016,left,2,530,16.4266,-8.9149,true
MultiTouch,left,2,530,play_on,16.4266,-8.9149,neutral,-1,536,27.2061,-5.1602,false
Pass,right,8,544,play_on,21.9983,-11.8637,right,10,547,15.0865,-9.9006,true
Dribble,right,10,547,play_on,15.0865,-9.9006,right,10,549,14.1797,-9.6039,true
Dribble,right,10,549,play_on,14.1797,-9.6039,right,10,555,10.6624,-9.5695,true
Dribble,right,10,558,play_on,10.7919,-9.189,right,10,560,9.6528,-8.9944,true
Dribble,right,10,560,play_on,9.6528,-8.9944,right,10,562,8.8464,-10.1026,true
Dribble,right,10,562,play_on,8.8464,-10.1026,right,10,566,7.1657,-9.5246,true
Pass,right,10,569,play_on,6.6447,-9.8618,right,7,573,1.6339,-1.7719,true
Dribble,right,7,574,play_on,1.5021,-1.1563,right,7,577,1.0983,-1.2818,true
Dribble,right,7,577,play_on,1.0983,-1.2818,right,7,583,-3.0378,-1.0063,true
Dribble,right,7,584,play_on,-3.6086,-2.1946,right,7,590,-7.2498,-1.9022,true
Dribble,right,7,594,play_on,-8.0453,-2.1188,right,7,597,-9.4716,-1.9875,true
Dribble,right,7,598,play_on,-9.673,-0.6293,right,7,600,-10.6207,-0.7954,true
Dribble,right,7,602,play_on,-10.5145,-0.7306,right,7,604,-11.6036,-0.4463,true
Dribble,right,7,605,play_on,-11.3312,-0.691,right,7,607,-12.5703,-0.6461,true
Pass,right,7,608,play_on,-12.8224,-0.938,right,10,611,-15.9039,-7.9538,true
Dribble,right,10,616,play_on,-17.3606,-8.1963,right,10,622,-18.8576,-10.0791,true
Dribble,right,10,623,play_on,-19.3584,-10.5441,right,10,627,-20.767,-9.4802,true
Interception,right,10,628,play_on,-20.4896,-9.4109,left,1,653,-48.6541,-24.0077,true
Pass,left,1,656,play_on,-48.2688,-22.9936,left,2,659,-44.3919,-15.9031,true
OutOfBounds,left,2,663,play_on,-43.9281,-15.5782,neutral,-1,672,-33.8985,-34,false
Pass,right,11,765,kick_in_r,-33.8985,-34,right,8,769,-29.8818,-24.4296,true
Dribble,right,8,771,play_on,-30.7018,-24.3136,right,8,779,-32.2263,-27.1415,true
Dribble,right,8,779,play_on,-32.2263,-27.1415,right,8,781,-33.658,-28.4072,true
Pass,right,8,781,play_on,-33.658,-28.4072,right,11,783,-35.7344,-31.042,true
Dribble,right,11,788,play_on,-36.4486,-31.7421,right,11,795,-41.7916,-31.8331,true
Pass,right,11,795,play_on,-41.7916,-31.8331,right,10,804,-38.3889,-23.7234,true
Dribble,right,10,804,play_on,-38.3889,-23.7234,right,10,810,-39.3616,-19.6715,true
Pass,right,10,810,play_on,-39.3616,-19.6715,right,8,812,-35.9964,-17.2054,true
Dribble,right,8,813,play_on,-35.4174,-17.1514,right,8,815,-36.4573,-16.7449,true
Pass,right,8,819,play_on,-35.6374,-15.1254,right,4,836,-14.5501,-8.9963,true
Dribble,right,4,838,play_on,-14.1871,-8.2675,right,4,845,-16.7501,-11.1173,true
Pass,right,4,847,play_on,-17.7403,-11.8035,right,3,849,-19.0974,-10.4511,true
Interception,right,3,849,play_on,-19.0974,-10.4511,left,7,857,-29.089,-17.3962,true
Dribble,left,7,857,play_on,-29.089,-17.3962,left,7,862,-26.2668,-18.368,true
Dribble,left,7,862,play_on,-26.2668,-18.368,left,7,868,-22.6489,-17.9536,true
Dribble,left,7,868,play_on,-22.6489,-17.9536,left,7,874,-19.9403,-19.8732,true
Dribble,left,7,874,play_on,-19.9403,-19.8732,left,7,882,-14.8574,-19.8723,true
Dribble,left,7,882,play_on,-14.8574,-19.8723,left,7,889,-12.3073,-22.8087,true
Dribble,left,7,889,play_on,-12.3073,-22.8087,left,7,895,-9.9357,-26.6446,true
Dribble,left,7,895,play_on,-9.9357,-26.6446,left,7,902,-5.719,-28.0001,true
Dribble,left,7,902,play_on,-5.719,-28.0001,left,7,909,-1.345,-28.2073,true
Dribble,left,7,909,play_on,-1.345,-28.2073,left,7,915,2.7681,-29.5638,true
Dribble,left,7,915,play_on,2.7681,-29.5638,left,7,922,6.9921,-30.6254,true
Dribble,left,7,922,play_on,6.9921,-30.6254,left,7,928,10.5321,-31.0317,true
Dribble,left,7,928,play_on,10.5321,-31.0317,left,7,933,14.3511,-31.0297,true
Dribble,left,7,933,play_on,14.3511,-31.0297,left,7,937,17.116,-30.7952,true
Dribble,left,7,937,play_on,17.116,-30.7952,left,7,943,19.3365,-33.1695,true
Dribble,left,7,945,play_on,19.1096,-33.2876,left,7,949,16.9686,-32.4068,true
Dribble,left,7,949,play_on,16.9686,-32.4068,left,7,953,16.7792,-30.9332,true
Dribble,left,7,953,play_on,16.7792,-30.9332,left,7,957,16.492,-28.8925,true
Pass,left,7,957,play_on,16.492,-28.8925,left,6,969,9.5126,-19.3771,true
Dribble,left,6,970,play_on,10.3351,-19.6131,left,6,975,13.5589,-20.5809,true
Dribble,left,6,975,play_on,13.5589,-20.5809,left,6,977,14.6987,-20.7754,true
Pass,left,6,977,play_on,14.6987,-20.7754,left,9,981,21.2242,-26.3058,true
Interception,left,9,981,play_on,21.2242,-26.3058,right,5,985,20.7906,-24.8448,true
Interception,right,5,985,play_on,20.7906,-24.8448,left,7,1000,22.2558,-24.6715,true
Pass,left,7,1000,free_kick_l,22.2558,-24.6715,left,9,1005,29.0642,-21.6956,true
Interception,left,9,1006,play_on,28.8074,-21.5622,right,11,1018,16.7864,-27.6944,true
OutOfBounds,right,11,1018,play_on,16.7864,-27.6944,neutral,-1,1023,5.9968,-34,false
Pass,left,7,1076,kick_in_l,5.9968,-34,left,4,1078,3.267,-33.271,true
Pass,left,4,1078,play_on,3.267,-33.271,left,7,1083,5.9313,-32.8728,true
Pass,left,7,1086,play_on,5.6481,-33.0865,left,4,1087,5.0879,-32.1548,true
Pass,left,4,1087,play_on,5.0879,-32.1548,left,6,1093,-2.8042,-19.2713,true
Pass,left,6,1093,play_on,-2.8042,-19.2713,left,2,1101,-10.6988,-21.893,true
Pass,left,2,1101,play_on,-10.6988,-21.893,left,3,1111,-9.7363,-0.5867,true
Dribble,left,3,1111,play_on,-9.7363,-0.5867,left,3,1117,-5.0862,-0.5241,true
Dribble,left,3,1117,play_on,-5.0862,-0.5241,left,3,1122,-1.0765,-0.9909,true
Dribble,left,3,1122,play_on,-1.0765,-0.9909,left,3,1126,1.6613,-1.3913,true
Dribble,left,3,1126,play_on,1.6613,-1.3913,left,3,1130,4.4366,-1.5581,true
Dribble,left,3,1130,play_on,4.4366,-1.5581,left,3,1137,7.6851,-4.8172,true
Dribble,left,3,1137,play_on,7.6851,-4.8172,left,3,1140,8.9405,-6.3389,true
Dribble,left,3,1140,play_on,8.9405,-6.3389,left,3,1148,12.92,-11.0998,true
Dribble,left,3,1148,play_on,12.92,-11.0998,left,3,1158,19.9365,-14.1588,true
Dribble,left,3,1158,play_on,19.9365,-14.1588,left,3,1166,25.9165,-15.6188,true
Dribble,left,3,1166,play_on,25.9165,-15.6188,left,3,1171,28.5369,-14.9037,true
Pass,left,3,1172,play_on,27.7402,-15.8321,left,9,1174,27.3544,-16.7005,true
Dribble,left,9,1174,play_on,27.3544,-16.7005,left,9,1180,24.1033,-18.8482,true
Dribble,left,9,1180,play_on,24.1033,-18.8482,left,9,1184,23.6104,-20.3415,true
Dribble,left,9,1184,play_on,23.6104,-20.3415,left,9,1186,23.4619,-21.5244,true
Dribble,left,9,1186,play_on,23.4619,-21.5244,left,9,1192,25.9779,-23.897,true
Pass,left,9,1192,play_on,25.9779,-23.897,left,4,1197,19.1655,-30.4646,true
Pass,left,4,1198,play_on,18.7769,-29.5932,left,7,1207,13.6601,-19.0028,true
Pass,left,7,1207,play_on,13.6601,-19.0028,left,3,1218,12.3055,-0.3236,true
Dribble,left,3,1218,play_on,12.3055,-0.3236,left,3,1226,17.444,-2.3549,true
Dribble,left,3,1226,play_on,17.444,-2.3549,left,3,1230,18.9463,-1.1296,true
Dribble,left,3,1230,play_on,18.9463,-1.1296,left,3,1234,18.8907,0.4284,true
Dribble,left,3,1234,play_on,18.8907,0.4284,left,3,1237,20.0646,-0.1751,true
Pass,left,3,1237,play_on,20.0646,-0.1751,left,11,1240,24.5795,1.1879,true
Interception,left,11,1240,play_on,24.5795,1.1879,right,9,1244,21.1631,0.9118,true
MultiTouch,right,9,1244,play_on,21.1631,0.9118,neutral,-1,1245,21.1071,0.3063,false
Pass,left,1,1381,free_kick_l,-42.9596,-9.1073,left,7,1385,-34.8751,-10.7343,true
MultiTouch,left,7,1388,play_on,-34.3723,-11.6792,neutral,-1,1392,-34.8124,-12.702,false
Pass,left,7,1407,free_kick_l,-34.1549,-11.861,left,2,1410,-38.2662,-9.1922,true
Interception,left,2,1410,play_on,-38.2662,-9.1922,right,11,1419,-26.4727,-10.398,true
Dribble,right,11,1422,play_on,-26.1667,-10.9288,right,11,1425,-28.436,-10.9124,true
Pass,right,11,1425,play_on,-28.436,-10.9124,right,10,1430,-30.7537,-3.1238,true
Dribble,right,10,1430,play_on,-30.7537,-3.1238,right,10,1433,-32.3719,-4.1323,true
Dribble,right,10,1433,play_on,-32.3719,-4.1323,right,10,1435,-33.6511,-4.3893,true
Dribble,right,10,1438,play_on,-33.6612,-3.5099,right,10,1440,-34.9695,-3.187,true
Pass,right,10,1440,play_on,-34.9695,-3.187,right,6,1445,-30.305,1.2797,true
Pass,right,6,1445,play_on,-30.305,1.2797,right,9,1449,-34.5691,8.8803,true
Dribble,right,9,1449,play_on,-34.5691,8.8803,right,9,1451,-34.9133,9.3069,true
OutOfBounds,right,9,1452,play_on,-35.8038,8.9577,neutral,-1,1463,-47,-9.16,false
Pass,left,2,1497,goal_kick_l,-47,-9.16,left,3,1529,-41.5798,14.4681,true
OutOfBounds,left,3,1529,goal_kick_l,-41.5798,14.4681,neutral,-1,1541,-33.297,34,false
Pass,right,9,1634,kick_in_r,-33.297,34,right,6,1639,-30.1815,22.4814,true
Dribble,right,6,1639,play_on,-30.1815,22.4814,right,6,1642,-30.4571,22.4288,true
Interception,right,6,1643,play_on,-31.1676,23.5941,left,8,1644,-31.6677,23.5392,true
OutOfBounds,left,8,1644,play_on,-31.6677,23.5392,neutral,-1,1657,-15.7966,34,false
Pass,right,6,1750,kick_in_r,-15.7966,34,right,2,1753,-18.5533,31.6209,true
Dribble,right,2,1755,play_on,-18.8295,31.3039,right,2,1759,-18.7479,31.5221,true
MultiTouch,right,2,1760,play_on,-19.5952,31.4904,neutral,-1,1762,-19.3801,31.7303,false
Dribble,right,9,1765,play_on,-25.3404,32.5592,right,9,1769,-28.1662,32.1435,true
Dribble,right,9,1770,play_on,-27.9214,30.4299,right,9,1772,-28.3609,30.6451,true
Interception,right,9,1775,play_on,-28.668,31.3965,left,3,1782,-28.4794,23.2703,true
Pass,left,3,1782,play_on,-28.4794,23.2703,left,6,1786,-30.3049,12.8841,true
Dribble,left,6,1786,play_on,-30.3049,12.8841,left,6,1792,-29.5567,9.4227,true
Pass,left,6,1792,play_on,-29.5567,9.4227,left,11,1798,-18.7448,9.6827,true
Pass,left,11,1800,play_on,-18.1118,9.1099,left,9,1807,-16.9396,-7.695,true
Dribble,left,9,1807,play_on,-16.9396,-7.695,left,9,1816,-15.909,-13.9806,true
Dribble,left,9,1816,play_on,-15.909,-13.9806,left,9,1818,-15.2871,-15.0106,true
Dribble,left,9,1818,play_on,-15.2871,-15.0106,left,9,1823,-13.9022,-18.2207,true
Dribble,left,9,1823,play_on,-13.9022,-18.2207,left,9,1827,-13.0894,-20.8094,true
Dribble,left,9,1827,play_on,-13.0894,-20.8094,left,9,1831,-11.779,-23.2473,true
Dribble,left,9,1831,play_on,-11.779,-23.2473,left,9,1837,-10.6709,-27.7561,true
Dribble,left,9,1837,play_on,-10.6709,-27.7561,left,9,1841,-9.9222,-30.3071,true
Dribble,left,9,1841,play_on,-9.9222,-30.3071,left,9,1844,-9.3679,-32.1844,true
Dribble,left,9,1844,play_on,-9.3679,-32.1844,left,9,1848,-7.7488,-32.9072,true
Pass,left,9,1857,play_on,-8.4932,-33.2449,left,4,1863,-14.2226,-26.8926,true
Dribble,left,4,1863,play_on,-14.2226,-26.8926,left,4,1867,-13.2975,-28.7558,true
Dribble,left,4,1867,play_on,-13.2975,-28.7558,left,4,1871,-12.1026,-31.0001,true
Dribble,left,4,1871,play_on,-12.1026,-31.0001,left,4,1876,-10.2425,-32.4854,true
Pass,left,4,1879,play_on,-10.9696,-32.4157,left,2,1886,-19.941,-24.7579,true
Dribble,left,2,1886,play_on,-19.941,-24.7579,left,2,1892,-16.6011,-22.3511,true
Dribble,left,2,1892,play_on,-16.6011,-22.3511,left,2,1896,-14.0866,-21.0612,true
Pass,left,2,1896,play_on,-14.0866,-21.0612,left,7,1901,-7.841,-15.1537,true
Dribble,left,7,1902,play_on,-7.9019,-15.3978,left,7,1906,-7.6458,-16.797,true
Dribble,left,7,1906,play_on,-7.6458,-16.797,left,7,1912,-5.9691,-20.5719,true
Interception,left,7,1914,play_on,-5.4876,-20.4906,right,3,1939,30.8531,-9.4698,true
Pass,right,3,1941,play_on,29.6757,-10.2493,right,5,1945,22.9649,-17.8431,true
Dribble,right,5,1946,play_on,22.546,-17.8044,right,5,1948,21.8802,-18.3899,true
Pass,right,5,1949,play_on,21.268,-17.9017,right,8,1954,9.4375,-18.2463,true
Dribble,right,8,1954,play_on,9.4375,-18.2463,right,8,1956,8.1122,-18.4307,true
Pass,right,8,1960,play_on,9.1265,-19.5827,right,11,1973,0.3395,-27.9355,true
OutOfBounds,right,11,1973,play_on,0.3395,-27.9355,neutral,-1,1978,-11.3236,-34,false
Pass,left,4,2005,kick_in_l,-11.3236,-34,left,7,2009,-6.8176,-27.6889,true
Pass,left,7,2010,play_on,-7.0267,-27.708,left,2,2018,-13.7619,-24.4954,true
Pass,left,2,2019,play_on,-13.0472,-24.2332,left,9,2026,4.2812,-20.2791,true
Interception,left,9,2029,play_on,4.0021,-19.9184,right,5,2034,4.5036,-17.194,true
Pass,right,5,2034,play_on,4.5036,-17.194,right,6,2045,-1.974,3.9566,true
Pass,right,6,2045,play_on,-1.974,3.9566,right,10,2052,-9.6801,0.4116,true
Pass,right,10,2054,play_on,-10.3424,1.3995,right,9,2060,-14.5728,13.6866,true
Dribble,right,9,2061,play_on,-14.8913,14.0322,right,9,2066,-17.8296,13.6801,true
Dribble,right,9,2066,play_on,-17.8296,13.6801,right,9,2068,-18.7883,14.0687,true
Dribble,right,9,2068,play_on,-18.7883,14.0687,right,9,2071,-20.5417,13.9725,true
Dribble,right,9,2072,play_on,-21.0645,13.9227,right,9,2077,-22.7885,14.7029,true
Dribble,right,9,2077,play_on,-22.7885,14.7029,right,9,2079,-24.0755,14.8904,true
Dribble,right,9,2080,play_on,-23.0218,15.1008,right,9,2082,-24.6138,15.5143,true
Dribble,right,9,2082,play_on,-24.6138,15.5143,right,9,2084,-25.6552,15.5165,true
Dribble,right,9,2084,play_on,-25.6552,15.5165,right,9,2087,-27.1854,16.3418,true
Pass,right,9,2087,play_on,-27.1854,16.3418,right,10,2091,-28.888,9.8126,true
Pass,right,10,2091,play_on,-28.888,9.8126,right,7,2095,-23.5419,1.6976,true
Dribble,right,7,2096,play_on,-23.7293,1.2234,right,7,2105,-27.3772,0.6932,true
Pass,right,7,2106,play_on,-28.358,0.6997,right,10,2109,-32.0154,6.5183,true
Dribble,right,10,2110,play_on,-32.5562,6.6001,right,10,2112,-33.1647,6.6717,true
Dribble,right,10,2112,play_on,-33.1647,6.6717,right,10,2114,-34.0274,6.7524,true
Dribble,right,10,2114,play_on,-34.0274,6.7524,right,10,2117,-35.3659,6.907,true
Pass,right,10,2118,play_on,-34.1224,5.6999,right,7,2121,-29.2998,-0.7665,true
Dribble,right,7,2123,play_on,-29.0919,-1.0505,right,7,2126,-29.1319,-0.8269,true
Dribble,right,7,2126,play_on,-29.1319,-0.8269,right,7,2129,-31.029,-1.4572,true
MultiTouch,right,7,2130,play_on,-31.1673,-1.5261,neutral,-1,2133,-32.7113,4.8624,false
